ID,Name,Surname,PhoneNumber,email
1,Alex,Duma,79368585496,Kovalenko@yandex.ru
2,Anna,Shagal,79709530781,Duma@mail.ru
3,Vasilisa,Kovalenko,79888509240,Duma@gmail.com
4,Anna,Sidorenko,79336351922,Sidorenko@gmail.com
5,Miron,Kovalenko,79442115713,Shagal@mail.ru
6,Alex,Shagal,79080618999,Galich@gmail.com
7,Anna,Mironenko,79354974656,Moroz@yandex.ru
8,Anna,Kovalenko,79541936063,Sidorenko@mail.ru
9,Anton,Shapiro,79826648180,Kovalenko@yandex.ru
10,Alex,Mironenko,79617141383,Galich@mail.ru
11,Miron,Sidorenko,79573600771,Moroz@mail.ru
12,Olga,Mironenko,79905004049,Mironenko@mail.ru
13,Miron,Shagal,79991292591,Galich@mail.ru
14,Anna,Mironenko,79555761341,Moroz@mail.ru
15,Viktor,Shapiro,79993526908,Kovalenko@yandex.ru
16,Svetlana,Moroz,79100953851,Shagal@mail.ru
17,Inna,Mironenko,79273861422,Duma@mail.ru
18,Alex,Shapiro,79186101466,Mironenko@mail.ru
19,Miron,Shapiro,79229859427,Shagal@yandex.ru
20,Alex,Mironenko,79959905579,Shapiro@yandex.ru
21,Anton,Shagal,79771880816,Duma@mail.ru
22,Vasilisa,Shagal,79915992164,Duma@mail.ru
23,Viktor,Duma,79105994274,Mironenko@yandex.ru
24,Olga,Duma,79901511591,Kovalenko@yandex.ru
25,Viktor,Kovalenko,79460593199,Kovalenko@mail.ru
26,Olga,Mironenko,79225720008,Sidorenko@mail.ru
27,Inna,Mironenko,79659519427,Moroz@gmail.com
28,Miron,Galich,79702223524,Duma@yandex.ru
29,Anna,Galich,79571893910,Kovalenko@gmail.com
30,Viktor,Mironenko,79286987787,Kovalenko@mail.ru
31,Anna,Shapiro,79297197628,Kovalenko@gmail.com
32,Anna,Mironenko,79855470000,Moroz@yandex.ru
33,Viktor,Sidorenko,79256629062,Duma@yandex.ru
34,Igor,Mironenko,79695099660,Mironenko@gmail.com
35,Inna,Mironenko,79641650746,Moroz@yandex.ru
36,Inna,Galich,79851146991,Shapiro@yandex.ru
37,Alex,Shapiro,79564903038,Sidorenko@gmail.com
38,Svetlana,Kovalenko,79228877359,Mironenko@gmail.com
39,Miron,Duma,79010700974,Moroz@mail.ru
40,Anton,Kovalenko,79435909759,Duma@yandex.ru
41,Inna,Kovalenko,79794014925,Moroz@mail.ru
42,Vasilisa,Shapiro,79686609619,Moroz@yandex.ru
43,Alex,Shapiro,79931319822,Sidorenko@yandex.ru
44,Miron,Sidorenko,79053539087,Sidorenko@yandex.ru
45,Igor,Shapiro,79725887951,Shapiro@gmail.com
46,Olga,Moroz,79239317955,Duma@gmail.com
47,Miron,Mironenko,79951465294,Kovalenko@mail.ru
48,Miron,Mironenko,79769441567,Shagal@gmail.com
49,Vasilisa,Shagal,79986871031,Mironenko@gmail.com
50,Viktor,Duma,79448299700,Sidorenko@gmail.com
51,Anna,Shapiro,79858354177,Mironenko@gmail.com
52,Olga,Duma,79974281672,Shagal@mail.ru
53,Olga,Duma,79513886302,Duma@yandex.ru
54,Anna,Duma,79688972882,Mironenko@yandex.ru
55,Inna,Shagal,79419351197,Duma@yandex.ru
56,Viktor,Kovalenko,79958523754,Galich@mail.ru
57,Viktor,Shapiro,79250648315,Sidorenko@mail.ru
58,Svetlana,Shapiro,79671509284,Kovalenko@yandex.ru
59,Inna,Shagal,79285372433,Kovalenko@gmail.com
60,Igor,Shagal,79381696884,Galich@mail.ru
61,Viktor,Galich,79856787728,Sidorenko@mail.ru
62,Alex,Kovalenko,79922839869,Galich@yandex.ru
63,Vasilisa,Galich,79259332477,Sidorenko@gmail.com
64,Anna,Moroz,79763418629,Galich@yandex.ru
65,Igor,Duma,79376760700,Shagal@mail.ru
66,Svetlana,Sidorenko,79789110147,Moroz@mail.ru
67,Anna,Duma,79658933644,Mironenko@yandex.ru
68,Anton,Shapiro,79427465803,Galich@yandex.ru
69,Olga,Duma,79477769853,Shagal@mail.ru
70,Anton,Duma,79945628368,Galich@gmail.com
71,Anton,Shagal,79599630122,Duma@mail.ru
72,Anna,Kovalenko,79184798868,Mironenko@yandex.ru
73,Anna,Galich,79925153069,Shapiro@mail.ru
74,Anna,Duma,79912265239,Sidorenko@yandex.ru
75,Alex,Galich,79279489772,Galich@mail.ru
76,Anna,Moroz,79027921092,Shagal@mail.ru
77,Igor,Duma,79741945278,Shapiro@gmail.com
78,Inna,Moroz,79927472925,Sidorenko@gmail.com
79,Olga,Galich,79409174929,Duma@gmail.com
80,Anna,Duma,79704789108,Sidorenko@yandex.ru
81,Vasilisa,Duma,79264246831,Duma@mail.ru
82,Anna,Mironenko,79456099217,Moroz@gmail.com
83,Inna,Duma,79113871129,Mironenko@mail.ru
84,Anna,Mironenko,79956773256,Moroz@mail.ru
